filename, language, JSON, JavaScript, TypeScript React, comment, blank, total
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditSkillsModal.js, JavaScript, 0, 143, 0, 3, 11, 157
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditSkillsPopup.js, JavaScript, 0, 123, 0, 0, 6, 129
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/SelectFreelanceModal.js, JavaScript, 0, 195, 0, 6, 18, 219
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/SelectIndustryModal.js, JavaScript, 0, 146, 0, 2, 14, 162
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/SelectInvestorModal.js, JavaScript, 0, 145, 0, 2, 14, 161
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/SelectMentorModal.js, JavaScript, 0, 146, 0, 3, 14, 163
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/SelectTopicsModal.js, JavaScript, 0, 214, 0, 14, 18, 246
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/stories/CreateIntroModal.js, JavaScript, 0, 395, 0, 29, 31, 455
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/stories/EditStoryItemPopup.js, JavaScript, 0, 129, 0, 0, 8, 137
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/stories/StoryModal.js, JavaScript, 0, 259, 0, 46, 41, 346
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/AuthLoadingScreen.js, JavaScript, 0, 43, 0, 3, 13, 59
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/BenefitsScreen1.js, JavaScript, 0, 60, 0, 2, 10, 72
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/BenefitsScreen2.js, JavaScript, 0, 60, 0, 2, 10, 72
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/BenefitsScreen3.js, JavaScript, 0, 60, 0, 2, 10, 72
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/CreateAccountScreen.js, JavaScript, 0, 136, 0, 13, 17, 166
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/LoginScreen.js, JavaScript, 0, 155, 0, 12, 18, 185
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/OnboardingScreen1.js, JavaScript, 0, 70, 0, 2, 9, 81
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/OnboardingScreen2.js, JavaScript, 0, 70, 0, 2, 9, 81
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/onboarding/OnboardingScreen3.js, JavaScript, 0, 67, 0, 2, 9, 78
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/styles/colors.js, JavaScript, 0, 42, 0, 70, 16, 128
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/styles/constants.js, JavaScript, 0, 1, 0, 0, 1, 2
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/styles/defaultStyles.js, JavaScript, 0, 280, 0, 26, 14, 320
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/styles/package.json, JSON, 4, 0, 0, 0, 0, 4
Total, -, 8, 13189, 50, 1351, 1472, 16070
